epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2403,1.38436,1.60427,1.44718,0.64619,0.76835,0.60399,0.38935,1.23439,1.16394,1.35773,0.00332474,0.00332474,0.00332474
2,122.925,1.13147,1.05168,1.24884,0.76846,0.76793,0.73552,0.50661,1.10942,1.00857,1.1516,0.00662512,0.00662512,0.00662512
3,178.522,1.13754,1.03146,1.24792,0.70558,0.75977,0.68367,0.45645,1.14496,1.126,1.24194,0.00989249,0.00989249,0.00989249
4,237.062,1.13667,1.00663,1.25915,0.7161,0.77153,0.70109,0.46928,1.11861,1.06354,1.28864,0.0098515,0.0098515,0.0098515
5,298.519,1.09533,0.96713,1.24135,0.74089,0.77538,0.68992,0.47183,1.08883,0.99066,1.17784,0.009802,0.009802,0.009802
6,360.282,1.06898,0.92227,1.22638,0.74586,0.77619,0.71504,0.4967,1.06229,0.95904,1.14816,0.0097525,0.0097525,0.0097525
7,421.422,1.04593,0.89616,1.21566,0.76559,0.77504,0.75453,0.53911,1.00687,0.89292,1.13279,0.009703,0.009703,0.009703
8,506.219,1.03293,0.87775,1.20834,0.77304,0.78382,0.75265,0.54436,0.99882,0.90268,1.1321,0.0096535,0.0096535,0.0096535
9,573.674,1.01656,0.86694,1.20712,0.76429,0.78089,0.74852,0.54276,0.9748,0.92314,1.09954,0.009604,0.009604,0.009604
10,631.703,1.00948,0.85859,1.19986,0.76192,0.77882,0.74767,0.53799,0.99485,0.90732,1.13214,0.0095545,0.0095545,0.0095545
11,697.433,1.00003,0.84821,1.19622,0.77432,0.7855,0.75607,0.54511,0.98338,0.88809,1.1351,0.009505,0.009505,0.009505
12,780.804,0.9888,0.83253,1.18694,0.77741,0.78423,0.74485,0.54334,0.96383,0.87875,1.08781,0.0094555,0.0094555,0.0094555
13,840.678,0.98212,0.82951,1.18714,0.75746,0.77838,0.7328,0.53537,0.97259,0.93135,1.12749,0.009406,0.009406,0.009406
14,899.437,0.98383,0.82983,1.18825,0.77209,0.7857,0.76083,0.55621,0.95028,0.85067,1.07546,0.0093565,0.0093565,0.0093565
15,958.903,0.96393,0.81585,1.18029,0.77016,0.79023,0.74849,0.54213,0.95118,0.86063,1.08005,0.009307,0.009307,0.009307
16,1022.88,0.97202,0.81295,1.18153,0.78781,0.78868,0.75982,0.55724,0.94614,0.8459,1.07315,0.0092575,0.0092575,0.0092575
17,1084.2,0.96295,0.80381,1.17781,0.78799,0.78277,0.7776,0.56594,0.95756,0.8338,1.09157,0.009208,0.009208,0.009208
18,1149.9,0.95754,0.80266,1.17521,0.76544,0.80033,0.74282,0.53834,0.95389,0.85329,1.0992,0.0091585,0.0091585,0.0091585
19,1213.11,0.94995,0.79205,1.16889,0.79299,0.78361,0.77185,0.56676,0.93361,0.80639,1.07155,0.009109,0.009109,0.009109
20,1275.28,0.95154,0.79227,1.16785,0.77928,0.79511,0.76804,0.57108,0.92253,0.81746,1.06988,0.0090595,0.0090595,0.0090595
21,1338.85,0.95278,0.80194,1.17498,0.77631,0.79598,0.76477,0.55939,0.9336,0.81862,1.04854,0.00901,0.00901,0.00901
22,1403.16,0.94456,0.78479,1.16598,0.77136,0.79093,0.76596,0.55855,0.92184,0.85801,1.06242,0.0089605,0.0089605,0.0089605
23,1463.14,0.93991,0.77493,1.16405,0.78108,0.78549,0.77462,0.56668,0.92772,0.82468,1.08573,0.008911,0.008911,0.008911
24,1530.57,0.93181,0.77478,1.16152,0.77009,0.79281,0.7562,0.55998,0.90764,0.81891,1.05053,0.0088615,0.0088615,0.0088615
25,1597.64,0.93176,0.77142,1.15818,0.78413,0.79893,0.75877,0.55967,0.92333,0.80872,1.0627,0.008812,0.008812,0.008812
26,1668.74,0.92797,0.77033,1.15861,0.76799,0.79009,0.75643,0.56389,0.91859,0.83705,1.06849,0.0087625,0.0087625,0.0087625
27,1732.98,0.92522,0.76203,1.15554,0.77129,0.78757,0.76817,0.57147,0.91536,0.83147,1.06089,0.008713,0.008713,0.008713
28,1798.68,0.92059,0.76149,1.15485,0.78423,0.7941,0.78096,0.57937,0.90987,0.80626,1.05322,0.0086635,0.0086635,0.0086635
29,1859.1,0.92372,0.75454,1.15547,0.77576,0.79302,0.76462,0.56567,0.91992,0.81508,1.07026,0.008614,0.008614,0.008614
30,1922.29,0.91852,0.75623,1.15159,0.76901,0.78793,0.77211,0.56303,0.93687,0.84389,1.09914,0.0085645,0.0085645,0.0085645
31,1984.34,0.9172,0.75731,1.15632,0.77757,0.79762,0.76902,0.56762,0.90997,0.80567,1.06238,0.008515,0.008515,0.008515
32,2047.28,0.90907,0.74327,1.15035,0.77695,0.79134,0.77644,0.57337,0.91673,0.80645,1.06718,0.0084655,0.0084655,0.0084655
33,2111.37,0.91301,0.74702,1.15343,0.76344,0.8018,0.77653,0.57886,0.90672,0.80463,1.05731,0.008416,0.008416,0.008416
